Date,Series_Name,Value,Unit
2004-04-30,Real Effective Exchange Rate Base 2010,95.40618827,Index
2004-04-30,NEER : Percentage Change over  Month,0.312285304,Percent
2004-04-30,REER : Percentage Change over Month,0.871366555,Percent
2004-05-31,REER : Percentage Change over Month,1.20512758,Percent
2004-05-31,NEER : Percentage Change over  Month,0.784509059,Percent
2004-05-31,Real Effective Exchange Rate Base 2010,96.55595456,Index
2004-05-31,Nominal Effective Exchange Rate Base 2010,161.87,Index
2004-06-30,REER : Percentage Change over Month,0.026292611,Percent
2004-06-30,NEER : Percentage Change over  Month,-1.062581084,Percent
2004-06-30,Real Effective Exchange Rate Base 2010,96.58134164,Index
2004-06-30,Nominal Effective Exchange Rate Base 2010,160.15,Index
2004-07-31,REER : Percentage Change over Month,0.300024549,Percent
2004-07-31,NEER : Percentage Change over  Month,-1.073993131,Percent
2004-07-31,Real Effective Exchange Rate Base 2010,96.87110937,Index
2004-07-31,Nominal Effective Exchange Rate Base 2010,158.43,Index
2004-08-31,Nominal Effective Exchange Rate Base 2010,158.42,Index
2004-08-31,Real Effective Exchange Rate Base 2010,97.16408597,Index
2004-08-31,REER : Percentage Change over Month,0.302439604,Percent
2004-08-31,NEER : Percentage Change over  Month,-0.006311936,Percent
2004-09-30,NEER : Percentage Change over  Month,-0.890039136,Percent
2004-09-30,Nominal Effective Exchange Rate Base 2010,157.01,Index
2004-09-30,REER : Percentage Change over Month,-0.851393242,Percent
2004-09-30,Real Effective Exchange Rate Base 2010,96.33683751,Index
2004-10-31,REER : Percentage Change over Month,-0.549171635,Percent
2004-10-31,NEER : Percentage Change over  Month,-1.35660149,Percent
2004-10-31,Real Effective Exchange Rate Base 2010,95.80778292,Index
2004-10-31,Nominal Effective Exchange Rate Base 2010,154.88,Index
2004-11-30,REER : Percentage Change over Month,-1.278949511,Percent
2004-11-30,NEER : Percentage Change over  Month,-2.401859504,Percent
2004-11-30,Real Effective Exchange Rate Base 2010,94.58244975,Index
2004-11-30,Nominal Effective Exchange Rate Base 2010,151.16,Index
2004-12-31,REER : Percentage Change over Month,-2.422849463,Percent
2004-12-31,NEER : Percentage Change over  Month,-1.541413072,Percent
2004-12-31,Real Effective Exchange Rate Base 2010,92.29085938,Index
2004-12-31,Nominal Effective Exchange Rate Base 2010,148.83,Index
2005-01-31,Nominal Effective Exchange Rate Base 2010,150.2,Index
2005-01-31,Real Effective Exchange Rate Base 2010,94.02436218,Index
2005-01-31,REER : Percentage Change over Month,1.878303896,Percent
2005-01-31,NEER : Percentage Change over  Month,0.920513337,Percent
2005-02-28,REER : Percentage Change over Month,0.748743537,Percent
2005-02-28,NEER : Percentage Change over  Month,0.34620506,Percent
2005-02-28,Real Effective Exchange Rate Base 2010,94.72836352,Index
2005-02-28,Nominal Effective Exchange Rate Base 2010,150.72,Index
2005-03-31,REER : Percentage Change over Month,0.431966556,Percent
2005-03-31,NEER : Percentage Change over  Month,-0.490976645,Percent
2005-03-31,Real Effective Exchange Rate Base 2010,95.13755837,Index
2005-03-31,Nominal Effective Exchange Rate Base 2010,149.98,Index
2005-04-30,REER : Percentage Change over Month,2.410830213,Percent
2005-04-30,NEER : Percentage Change over  Month,0.993465795,Percent
2005-04-30,Real Effective Exchange Rate Base 2010,97.43116337,Index
2005-04-30,Nominal Effective Exchange Rate Base 2010,151.47,Index
2005-05-31,Nominal Effective Exchange Rate Base 2010,151.45,Index
2005-05-31,Real Effective Exchange Rate Base 2010,96.89388883,Index
2005-05-31,NEER : Percentage Change over  Month,-0.013203935,Percent
2005-05-31,REER : Percentage Change over Month,-0.551440135,Percent
2005-06-30,Nominal Effective Exchange Rate Base 2010,153.23,Index
2005-06-30,REER : Percentage Change over Month,1.333256752,Percent
2005-06-30,NEER : Percentage Change over  Month,1.175305381,Percent
2005-06-30,Real Effective Exchange Rate Base 2010,98.18573315,Index
2005-07-31,REER : Percentage Change over Month,2.217242232,Percent
2005-07-31,NEER : Percentage Change over  Month,0.80924101,Percent
2005-07-31,Real Effective Exchange Rate Base 2010,100.3627487,Index
2005-07-31,Nominal Effective Exchange Rate Base 2010,154.47,Index
2005-08-31,REER : Percentage Change over Month,-1.498108226,Percent
2005-08-31,NEER : Percentage Change over  Month,-1.184696057,Percent
2005-08-31,Real Effective Exchange Rate Base 2010,98.85920609,Index
2005-08-31,Nominal Effective Exchange Rate Base 2010,152.64,Index
2005-09-30,Real Effective Exchange Rate Base 2010,98.50690323,Index
2005-09-30,Nominal Effective Exchange Rate Base 2010,152.28,Index
2005-09-30,REER : Percentage Change over Month,-0.356368291,Percent
2005-09-30,NEER : Percentage Change over  Month,-0.235849057,Percent
2005-10-31,NEER : Percentage Change over  Month,1.34620436,Percent
2005-10-31,REER : Percentage Change over Month,1.915024891,Percent
2005-10-31,Real Effective Exchange Rate Base 2010,100.3933349,Index
2005-10-31,Nominal Effective Exchange Rate Base 2010,154.33,Index
2005-11-30,Real Effective Exchange Rate Base 2010,102.3618762,Index
2005-11-30,Nominal Effective Exchange Rate Base 2010,155.77,Index
2005-11-30,REER : Percentage Change over Month,1.96082867,Percent
2005-11-30,NEER : Percentage Change over  Month,0.933065509,Percent
2005-12-31,REER : Percentage Change over Month,-0.973896156,Percent
2005-12-31,NEER : Percentage Change over  Month,-0.590614367,Percent
2005-12-31,Real Effective Exchange Rate Base 2010,101.3649779,Index
2005-12-31,Nominal Effective Exchange Rate Base 2010,154.85,Index
2006-01-31,REER : Percentage Change over Month,-0.451343986,Percent
2006-01-31,NEER : Percentage Change over  Month,-1.317403939,Percent
2006-01-31,Real Effective Exchange Rate Base 2010,100.9074731,Index
2006-01-31,Nominal Effective Exchange Rate Base 2010,152.81,Index
2006-02-28,Nominal Effective Exchange Rate Base 2010,153.3,Index
2006-02-28,Real Effective Exchange Rate Base 2010,101.2854032,Index
2006-02-28,NEER : Percentage Change over  Month,0.320659643,Percent
2006-02-28,REER : Percentage Change over Month,0.374531263,Percent
2006-03-31,REER : Percentage Change over Month,-0.364868577,Percent
2006-03-31,NEER : Percentage Change over  Month,-0.358773646,Percent
2006-03-31,Real Effective Exchange Rate Base 2010,100.9158446,Index
2006-03-31,Nominal Effective Exchange Rate Base 2010,152.75,Index
2006-04-30,REER : Percentage Change over Month,-0.447705381,Percent
2006-04-30,NEER : Percentage Change over  Month,-0.883797054,Percent
2006-04-30,Real Effective Exchange Rate Base 2010,100.4640389,Index
2006-04-30,Nominal Effective Exchange Rate Base 2010,151.4,Index
2006-05-31,REER : Percentage Change over Month,-1.852309812,Percent
2006-05-31,NEER : Percentage Change over  Month,-1.948480845,Percent
2006-05-31,Real Effective Exchange Rate Base 2010,98.60313364,Index
2006-05-31,Nominal Effective Exchange Rate Base 2010,148.45,Index
2006-06-30,Real Effective Exchange Rate Base 2010,99.84468628,Index
2006-06-30,Nominal Effective Exchange Rate Base 2010,149.55,Index
2006-06-30,REER : Percentage Change over Month,1.259141159,Percent
2006-06-30,NEER : Percentage Change over  Month,0.740990232,Percent
2006-07-31,REER : Percentage Change over Month,1.32496058,Percent
2006-07-31,NEER : Percentage Change over  Month,-0.207288532,Percent
2006-07-31,Real Effective Exchange Rate Base 2010,101.167589,Index
2006-07-31,Nominal Effective Exchange Rate Base 2010,149.24,Index
2006-08-31,REER : Percentage Change over Month,0.303011781,Percent
2006-08-31,NEER : Percentage Change over  Month,-0.690163495,Percent
2006-08-31,Real Effective Exchange Rate Base 2010,101.4741387,Index
2006-08-31,Nominal Effective Exchange Rate Base 2010,148.21,Index
2006-09-30,Nominal Effective Exchange Rate Base 2010,148.12,Index
2006-09-30,REER : Percentage Change over Month,0.210347895,Percent
2006-09-30,NEER : Percentage Change over  Month,-0.060724647,Percent
2006-09-30,Real Effective Exchange Rate Base 2010,101.6875874,Index
2006-10-31,REER : Percentage Change over Month,0.228549419,Percent
2006-10-31,NEER : Percentage Change over  Month,-0.101269241,Percent
2006-10-31,Real Effective Exchange Rate Base 2010,101.9199938,Index
2006-10-31,Nominal Effective Exchange Rate Base 2010,147.97,Index
2006-11-30,Nominal Effective Exchange Rate Base 2010,145.37,Index
2006-11-30,NEER : Percentage Change over  Month,-1.757112928,Percent
2006-11-30,REER : Percentage Change over Month,-1.091908379,Percent
2006-11-30,Real Effective Exchange Rate Base 2010,100.8071209,Index
2006-12-31,REER : Percentage Change over Month,-0.688030267,Percent
2006-12-31,NEER : Percentage Change over  Month,-0.722294834,Percent
2006-12-31,Real Effective Exchange Rate Base 2010,100.1135374,Index
2006-12-31,Nominal Effective Exchange Rate Base 2010,144.32,Index
2007-01-31,REER : Percentage Change over Month,-0.208787767,Percent
2007-01-31,NEER : Percentage Change over  Month,0.679046563,Percent
2007-01-31,Real Effective Exchange Rate Base 2010,99.90451256,Index
2007-01-31,Nominal Effective Exchange Rate Base 2010,145.3,Index
2007-02-28,Nominal Effective Exchange Rate Base 2010,145.16,Index
2007-02-28,REER : Percentage Change over Month,0.443060078,Percent
2007-02-28,NEER : Percentage Change over  Month,-0.096352374,Percent
2007-02-28,Real Effective Exchange Rate Base 2010,100.3471496,Index
2007-03-31,REER : Percentage Change over Month,-0.358861449,Percent
2007-03-31,NEER : Percentage Change over  Month,-0.447781758,Percent
2007-03-31,Real Effective Exchange Rate Base 2010,99.98704233,Index
2007-03-31,Nominal Effective Exchange Rate Base 2010,144.51,Index
2007-04-30,Nominal Effective Exchange Rate Base 2010,142.99,Index
2007-04-30,REER : Percentage Change over Month,-1.197713395,Percent
2007-04-30,NEER : Percentage Change over  Month,-1.051830323,Percent
2007-04-30,Real Effective Exchange Rate Base 2010,98.78948414,Index
2007-05-31,REER : Percentage Change over Month,0.444816872,Percent
2007-05-31,NEER : Percentage Change over  Month,-0.104902441,Percent
2007-05-31,Real Effective Exchange Rate Base 2010,99.22891643,Index
