Date,Series_Name,Value,Unit
2015-09-30,Freight & Insurance,111708.9046,Thousand USD
2015-10-31,Freight & Insurance,111912.6295,Thousand USD
2015-11-30,Freight & Insurance,108621.8178,Thousand USD
2015-12-31,Freight & Insurance,138902.7932,Thousand USD
2016-01-31,Freight & Insurance,116323.6008,Thousand USD
2016-02-29,Freight & Insurance,108949.5766,Thousand USD
2016-03-31,Freight & Insurance,113154.6916,Thousand USD
2016-04-30,Freight & Insurance,109128.2189,Thousand USD
2016-05-31,Freight & Insurance,123586.155,Thousand USD
2016-06-30,Freight & Insurance,137242.5266,Thousand USD
2016-07-31,Freight & Insurance,108207.2886,Thousand USD
2016-08-31,Freight & Insurance,136545.6437,Thousand USD
2016-09-30,Freight & Insurance,103305.2962,Thousand USD
2016-10-31,Freight & Insurance,116643.5571,Thousand USD
2016-11-30,Freight & Insurance,138148.4376,Thousand USD
2016-12-31,Freight & Insurance,141975.7124,Thousand USD
2017-01-31,Freight & Insurance,153405.1165,Thousand USD
2017-02-28,Freight & Insurance,135667.567,Thousand USD
2017-03-31,Freight & Insurance,151915.4706,Thousand USD
2017-04-30,Freight & Insurance,141882.6095,Thousand USD
2017-05-31,Freight & Insurance,156792.2464,Thousand USD
2017-06-30,Freight & Insurance,170262.1108,Thousand USD
2017-07-31,Freight & Insurance,161881.5342,Thousand USD
2017-08-31,Freight & Insurance,148436.1036,Thousand USD
2017-09-30,Freight & Insurance,133421.6776,Thousand USD
2017-10-31,Freight & Insurance,151491.8481,Thousand USD
2017-11-30,Freight & Insurance,155079.8077,Thousand USD
2017-12-31,Freight & Insurance,144268.9262,Thousand USD
2018-01-31,Freight & Insurance,170089.2835,Thousand USD
2018-02-28,Freight & Insurance,147249.7706,Thousand USD
2018-03-31,Freight & Insurance,166485.4004,Thousand USD
2018-04-30,Freight & Insurance,169754.1517,Thousand USD
2018-05-31,Freight & Insurance,178824.9717,Thousand USD
2018-06-30,Freight & Insurance,178713.2761,Thousand USD
2018-07-31,Freight & Insurance,142037.2427,Thousand USD
2018-08-31,Freight & Insurance,118087.6837,Thousand USD
2018-09-30,Freight & Insurance,102592.9643,Thousand USD
2018-10-31,Freight & Insurance,125178.3889,Thousand USD
2018-11-30,Freight & Insurance,110832.3963,Thousand USD
2018-12-31,Freight & Insurance,117458.9841,Thousand USD
2019-01-31,Freight & Insurance,114219.2839,Thousand USD
2019-02-28,Freight & Insurance,90953.39291,Thousand USD
2019-03-31,Freight & Insurance,108491.9345,Thousand USD
2019-04-30,Freight & Insurance,110148.8314,Thousand USD
2019-05-31,Freight & Insurance,115576.7982,Thousand USD
2019-06-30,Freight & Insurance,102335.1535,Thousand USD
2019-07-31,Freight & Insurance,107954.9984,Thousand USD
2019-08-31,Freight & Insurance,91662.74539,Thousand USD
2019-09-30,Freight & Insurance,85991.69617,Thousand USD
2019-10-31,Freight & Insurance,96869.35384,Thousand USD
2019-11-30,Freight & Insurance,94736.12761,Thousand USD
2019-12-31,Freight & Insurance,96785.56345,Thousand USD
2020-01-31,Freight & Insurance,101608.9784,Thousand USD
2020-02-29,Freight & Insurance,93915.17025,Thousand USD
2020-03-31,Freight & Insurance,84491.77325,Thousand USD
2020-04-30,Freight & Insurance,83130.28283,Thousand USD
2020-05-31,Freight & Insurance,72866.89751,Thousand USD
2020-06-30,Freight & Insurance,97256.6423,Thousand USD
2020-07-31,Freight & Insurance,113118.3783,Thousand USD
2020-08-31,Freight & Insurance,102404.871,Thousand USD
2020-09-30,Freight & Insurance,116934.6043,Thousand USD
2020-10-31,Freight & Insurance,110271.1736,Thousand USD
2020-11-30,Freight & Insurance,123928.7834,Thousand USD
2020-12-31,Freight & Insurance,153971.1839,Thousand USD
2021-01-31,Freight & Insurance,136390.6805,Thousand USD
2021-02-28,Freight & Insurance,140856.519,Thousand USD
2021-03-31,Freight & Insurance,162463.4789,Thousand USD
2021-04-30,Freight & Insurance,153821.0986,Thousand USD
2021-05-31,Freight & Insurance,146616.3619,Thousand USD
2021-06-30,Freight & Insurance,192368.0871,Thousand USD
2021-07-31,Freight & Insurance,250624.3244,Thousand USD
2021-08-31,Freight & Insurance,277680.4536,Thousand USD
2021-09-30,Freight & Insurance,293701.2614,Thousand USD
2021-10-31,Freight & Insurance,402204.3798,Thousand USD
2021-11-30,Freight & Insurance,436058.6828,Thousand USD
2021-12-31,Freight & Insurance,431343.304,Thousand USD
2022-01-31,Freight & Insurance,365276.6448,Thousand USD
2022-02-28,Freight & Insurance,349934.3645,Thousand USD
2022-03-31,Freight & Insurance,422091.2678,Thousand USD
2022-04-30,Freight & Insurance,344507.5882,Thousand USD
2022-05-31,Freight & Insurance,313784.5204,Thousand USD
2022-06-30,Freight & Insurance,385477.7208,Thousand USD
2022-07-31,Freight & Insurance,234862.8044,Thousand USD
2022-08-31,Freight & Insurance,252437.2121,Thousand USD
2022-09-30,Freight & Insurance,205749.6331,Thousand USD
2022-10-31,Freight & Insurance,189784.093,Thousand USD
2022-11-30,Freight & Insurance,176806.8148,Thousand USD
2022-12-31,Freight & Insurance,172111.1729,Thousand USD
2023-01-31,Freight & Insurance,180808.1701,Thousand USD
2023-02-28,Freight & Insurance,179560.0117,Thousand USD
2023-03-31,Freight & Insurance,184210.5442,Thousand USD
2023-04-30,Freight & Insurance,176173.3275,Thousand USD
2023-05-31,Freight & Insurance,185939.2494,Thousand USD
2023-06-30,Freight & Insurance,155108.6542,Thousand USD
2023-07-31,Freight & Insurance,228560.9865,Thousand USD
2023-08-31,Freight & Insurance,254790.1938,Thousand USD
2023-09-30,Freight & Insurance,234590.6858,Thousand USD
2023-10-31,Freight & Insurance,177113.207,Thousand USD
2023-11-30,Freight & Insurance,179448.6927,Thousand USD
2023-12-31,Freight & Insurance,166211.6993,Thousand USD
2024-01-31,Freight & Insurance,174928.1707,Thousand USD
2024-02-29,Freight & Insurance,158871.4469,Thousand USD
2024-03-31,Freight & Insurance,164634.3382,Thousand USD
2024-04-30,Freight & Insurance,162427.108,Thousand USD
2024-05-31,Freight & Insurance,183876.7769,Thousand USD
2024-06-30,Freight & Insurance,165398.0551,Thousand USD
2024-07-31,Freight & Insurance,178996.2536,Thousand USD
2024-08-31,Freight & Insurance,176250.5335,Thousand USD
2024-09-30,Freight & Insurance,173551.9114,Thousand USD
2024-10-31,Freight & Insurance,124543.4507,Thousand USD
2024-11-30,Freight & Insurance,109551.6116,Thousand USD
