"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Mar-2019","42787.36532","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","28-Feb-2019","-28406.66303","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jan-2019","95905.39044","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Dec-2018","164557.2755","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Nov-2018","45747.68862","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Oct-2018","25603.39902","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Sep-2018","1092.666952","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Aug-2018","32324.77281","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jul-2018","25890.78433","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Jun-2018","70575.319","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-May-2018","21018.144","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Apr-2018","139716.645","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Mar-2018","17942.385","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","28-Feb-2018","51094.111","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jan-2018","-62312.448","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Dec-2017","93891.62","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Nov-2017","110454.691","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Oct-2017","13153.137","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Sep-2017","-15631.936","Thousand USD","Normal",""
