"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-May-2020","361","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Apr-2020","354","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Mar-2020","428","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","29-Feb-2020","469","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Jan-2020","524","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Dec-2019","572","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Nov-2019","464","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Oct-2019","546","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Sep-2019","427","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Aug-2019","430","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Jul-2019","485","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Jun-2019","446","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-May-2019","468","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Apr-2019","486","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Mar-2019","542","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","28-Feb-2019","485","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Jan-2019","519","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Dec-2018","563","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Nov-2018","478","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Oct-2018","508","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Sep-2018","495","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Aug-2018","499","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Jul-2018","477","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Jun-2018","509","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-May-2018","506","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Apr-2018","442","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Mar-2018","483","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","28-Feb-2018","503","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Jan-2018","470","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Dec-2017","593","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Nov-2017","492","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Oct-2017","463","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Sep-2017","518","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Aug-2017","457","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Jul-2017","415","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Jun-2017","495","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-May-2017","449","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Apr-2017","456","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Mar-2017","801","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","28-Feb-2017","761","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Jan-2017","428","Million USD","Normal",""
