"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Oct-2018","2569","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Sep-2018","2300","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Aug-2018","2574","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jul-2018","2490","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Jun-2018","2523","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-May-2018","2771","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Apr-2018","2677","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Mar-2018","2799","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","28-Feb-2018","2560","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jan-2018","2560","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Dec-2017","2601","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Nov-2017","2665","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Oct-2017","2423","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Sep-2017","2261","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Aug-2017","2547","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jul-2017","2232","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Jun-2017","2379","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-May-2017","2427","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Apr-2017","2283","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Mar-2017","2876","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","28-Feb-2017","2558","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jan-2017","2239","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Dec-2016","2382","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Nov-2016","2273","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Oct-2016","2220","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Sep-2016","2132","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Aug-2016","2292","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jul-2016","1857","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Jun-2016","2284","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-May-2016","2320","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Apr-2016","2412","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Mar-2016","2436","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","29-Feb-2016","2215","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jan-2016","2046","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Dec-2015","2391","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Nov-2015","2061","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Oct-2015","2178","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Sep-2015","2532","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Aug-2015","2079","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jul-2015","2474","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Jun-2015","2514","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-May-2015","2198","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Apr-2015","2470","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Mar-2015","2487","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","28-Feb-2015","2896","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jan-2015","2324","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Dec-2014","2710","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Nov-2014","2171","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Oct-2014","2489","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Sep-2014","2854","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Aug-2014","2571","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jul-2014","2278","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Jun-2014","2475","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-May-2014","2891","Million USD","Normal",""
