IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,RATE_PER_100000_N
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,591,COUNTRY,PUBLISHED,Road traffic deaths,Panama,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,598,COUNTRY,PUBLISHED,Road traffic deaths,Papua New Guinea,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,600,COUNTRY,PUBLISHED,Road traffic deaths,Paraguay,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,604,COUNTRY,PUBLISHED,Road traffic deaths,Peru,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,608,COUNTRY,PUBLISHED,Road traffic deaths,Philippines,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,616,COUNTRY,PUBLISHED,Road traffic deaths,Poland,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,620,COUNTRY,PUBLISHED,Road traffic deaths,Portugal,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,624,COUNTRY,PUBLISHED,Road traffic deaths,Guinea-Bissau,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,626,COUNTRY,PUBLISHED,Road traffic deaths,Timor-Leste,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,630,"ORGANIZED, UNINCORPORATED TERRITORY",PUBLISHED,Road traffic deaths,Puerto Rico,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,634,COUNTRY,PUBLISHED,Road traffic deaths,Qatar,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,642,COUNTRY,PUBLISHED,Road traffic deaths,Romania,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,643,COUNTRY,PUBLISHED,Road traffic deaths,Russian Federation,
